AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;172.6331
WaveFailTime;0;202.8955
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.2203;0.3842;0;0.7349;0.0541;0.2326;0;7;4.7348;0.1194;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
